number;description;part.number;part.description;location.image;location.x1;location.y1;location.x2;location.y2
6;Armcap CTR LH  ;137-00-341-01GF;;;;;;
8;Escutcheon RH;137-00-370-01GG;;;;;;
8;Escutcheon CTR RH;137-00-370-01GG;;;;;;
8;Escutcheon CTR LH;137-00-370-01GG;;;;;;
8;Escutcheon LH;137-00-370-01GG;;;;;;
4;Backrest Foodtray assy RH;781-00-512-00;;;;;;
4;Backrest Foodtray assy LH;781-00-512-00;;;;;;
4;Backrest Foodtray assy CTR;781-00-512-00;;;;;;
9;Footrest RH;;;;;;;
9;Footrest LH;;;;;;;
9;Footrest CTR;;;;;;;
2;RH Strip, Bumper, Lower;137-00-262-31GG;;;;;;
2;LH Strip, Bumper, Lower;137-00-262-31GG;;;;;;
2;LH Strip, Bumper, Upper;137-00-262-23GG;;;;;;
2;RH Strip, Bumper, Upper;137-00-262-24GG;;;;;;
1;LH Panel Outer IAT;137-00-870-19GG;;;;;;
1;LH Panel Inner IAT;781-00-873-44;;;;;;
6;Armcap IAT RH;137-00-882-43GF;;;;;;
6;Armcap IAT LH;137-00-882-43GF;;;;;;
6;Armcap IAT CTR RH;137-00-882-43GF;;;;;;
1;CTR  RH Armrest Panel RH;781-00-872-42;;;;;;
1;RH Panel Outer ;137-00-870-20GG;;;;;;
1;CTR  RH Armrest Panel LH;781-00-873-51;;;;;;
1;RH Panel Inner ;137-00-873-49GG;;;;;;
3;Shroud CTR LH;137-00-380-18GG;;;;;;
10;LH In-arm table - half inner;137-00-851-01GG;;;;;;
10;LH In-arm table - half outer;137-00-852-06GG;;;;;;
10;RH In-arm table - half inner;137-00-851-02GG;;;;;;
10;RH In-arm table - half outer;137-00-852-05GG;;;;;;
5A;Seat Belt with Buckle RH;TP25-7219;;;;;;
5A;Seat Belt with Buckle LH;TP25-7219;;;;;;
5A;Seat Belt with Buckle CTR;TP25-7219;;;;;;
5A;Seat Belt without Buckle RH;TP25-7220;;;;;;
5A;Seat Belt without Buckle LH;TP25-7220;;;;;;
5A;Seat Belt without Buckle CTR;TP25-7220;;;;;;
5;Dress cover - Headrest RH;TP25-7931;;;;;;
5;Dress cover - Headrest LH;TP25-7931;;;;;;
5;Dress cover - Headrest CTR;TP25-7931;;;;;;
5;Dress cover - Backrest RH;TP25-8021;;;;;;
5;Dress cover - Backrest LH;TP25-8021;;;;;;
5;Dress cover - Backrest CTR;TP25-8021;;;;;;
5;RH Dress cover - Seatbottom;TP25-7929;;;;;;
5;CTR Dress cover - Seatbottom;TP25-8028;;;;;;
5;LH Dress cover - Seatbottom;TP25-8039;;;;;;
5;RH Dress cover - Back Poket;TP25-7932;;;;;;
5;LH Dress cover - Back Poket;TP25-7932;;;;;;
5;CTR Dress cover - Back Poket;TP25-7932;;;;;;
4;Latch RH ;137-00-410-15CW;;;;;;
4;Latch LH ;137-00-410-15CW;;;;;;
4;Latch CTR ;137-00-410-15CW;;;;;;
