number;description;part.number;part.description;location.image;location.x1;location.y1;location.x2;location.y2
8;Escutcheon RH;137-00-370-01GG;;;;;;
8;Escutcheon CTR;137-00-370-01GG;;;;;;
8;Escutcheon LH;137-00-370-01GG;;;;;;
4;Backrest Foodtray assy RH;781-00-512-00;;;;;;
4;Backrest Foodtray assy LH;781-00-512-00;;;;;;
9;Footrest RH;;;;;;;
9;Footrest LH;;;;;;;
2;Strip, Bumper, Lower;137-00-262-31GG;;;;;;
2;RH Strip, Bumper, Upper;137-00-262-24GG;;;;;;
1;CTR Panel LH Armrest ;781-00-872-45;;;;;;
1;CTR Panel RH Armrest ;137-00-873-56GG;;;;;;
6;Armcap IAT RH;137-00-882-43GF;;;;;;
6;Armcap IAT LH;137-00-882-43GF;;;;;;
6;Armcap IAT CTR;137-00-882-43GF;;;;;;
1;RH Panel Outer IAT;137-00-870-16GG;;;;;;
1;RH Panel Inner IAT;781-00-873-41;;;;;;
7;RH Video arm assy;137-00-168-14GG;;;;;;
1;LH Panel Outer IAT;137-00-872-13GG;;;;;;
1;LH Panel Inner IAT;137-00-873-48GG;;;;;;
10;RH In-arm table - half inner;137-00-851-02GG;;;;;;
10;RH In-arm table - half outer;137-00-852-05GG;;;;;;
5A;Seat Belt with Buckle RH;TP25-7219;;;;;;
5A;Seat Belt with Buckle LH;TP25-7219;;;;;;
5A;Seat Belt without Buckle RH;TP25-7220;;;;;;
5A;Seat Belt without Buckle LH;TP25-7220;;;;;;
5;Dress cover - Headrest RH;TP25-7931;;;;;;
5;Dress cover - Headrest LH;TP25-7931;;;;;;
5;Dress cover - Backrest RH;TP25-8021;;;;;;
5;Dress cover - Backrest LH;TP25-8021;;;;;;
5;Dress cover - Seatbottom RH;TP25-7929;;;;;;
5;Dress cover - Seatbottom LH;TP25-7929;;;;;;
5;RH Dress cover - Back Poket;TP25-7932;;;;;;
5;LH Dress cover - Back Poket;TP25-7932;;;;;;
4;Latch RH ;137-00-410-15CW;;;;;;
4;Latch LH ;137-00-410-15CW;;;;;;
